Gene Symbol	ABCA1	CCL2	CCL20	CCL22	CCL4	CCL7	CCRL2	CD274	CD44	CD83	CEACAM1	CEACAM6	CEACAM8	CHI3L1	CLEC5A	CXCL1	CXCL16	CXCL2	CXCL3	CXCL8	DOCK4	EDN1	EGR1	EGR3	EREG	F3	FFAR2	FURIN	GYPA	GYPB	HBEGF	ICAM1	IFNG	IL10	IL1A	IL1B	IL1R1	IL1RAP	IL1RN	IL6	MMP1	MPP1	NFKB1	NLRP3	NR4A3	OSM	RAB13	RIPK2	SDC2	SEMA6B	SLC7A5	SPHK1	SUCNR1	THBS1	TNF	TREM1	TRIB1	ABCA13	ACOD1	ADGRG3	ANXA3	AREG	ARG1	AZU1	BPI	C3AR1	CAMP	CD177	CD55	CD63	CDK1	CDKN1A	CRISP3	CTSG	CYSTM1	DEFA4	ELANE	FCAR	FOSL1	GPR84	HBD	HBM	HBQ1	INAVA	LCN2	LGALS3	LRG1	LTF	MCEMP1	MGAM	MMP8	MMP9	MPO	OLFM4	OLR1	PDE4B	PGLYRP1	PLAU	PLAUR	PPIF	PTGS2	PTX3	RETN	RNASE3	S100P	SERPINB10	SLC2A3	SLC7A11	SLPI	SNCA	SOD2	TCN1	TNFAIP3	TNFAIP6	ZC3H12A
CONTROL	7,73471	5,491853	0	2,321928	9,939579	0	7,011227	8,247928	13,20013	8,071463	8,603626	5,321928	5,491853	11,58261	6,539159	10,05257	10,85409	2,321928	1	12,47978	6,83289	3,321928	9,682995	7,994353	2,584963	1	13,81578	11,68343	0	1	5,209454	10,82496	3,459432	5,087463	1	11,92704	7,285402	8,299208	11,71253	2,584963	4,459432	11,79685	10,18859	9,859535	2,321928	9,923327	7,971544	8,60733	5,554589	3,459432	6,894818	8,285402	5,044394	10,00703	9,240791	12,92889	11,18735	3,459432	0	13,05681	10,18859	2,584963	6,491853	4,169925	7,864186	11,08813	9,548821	10,69697	11,86998	13,31388	2,807355	10,67772	6,37504	3,459432	11,10329	5,209454	4,523562	9,818583	2,321928	5,61471	9,189824	5,83289	5,392317	2	9,546894	11,29519	12,01507	10,21189	10,46964	11,6193	5,727921	10,7936	6,672425	6,569856	2,807355	10,23242	10,53722	5,044394	11,23422	11,90162	12,23512	4,584962	7,686501	8,98014	12,97441	2,321928	13,18998	4,90689	11,31628	9,636624	15,29272	6,209454	9,149747	8,942514	8,455327
CONTROL	10,82575	1	2,807355	3,169925	8,791162	1	6,84549	6,392317	13,5577	5,83289	10,12024	9,255029	9,818583	11,88798	8,076816	10,63481	10,43254	3,584963	2,584963	11,18364	6,942514	3,807355	9,98014	8,005625	6,129283	2	13,55519	12,50953	2,321928	1,584962	5,285402	10,36523	3,584963	6,149747	1	11,86689	11,40567	10,85175	12,25974	0	4	12,39607	10,76072	10,18859	1,584962	11,17368	8,771489	8,939579	3,584963	5,554589	7,257388	6,247928	5,426265	12,56962	7,523562	13,9771	12,54906	6,942514	0	14,0254	13,57341	6,149747	14,0596	7	10,16491	12,15006	10,56891	13,05799	14,0414	13,62879	5,882643	9,491853	9,426265	8,108524	12,72195	10,21067	7,330917	12,40806	4,169925	6,70044	7,936638	4,321928	4,70044	3,807355	10,93295	10,88722	13,42692	11,81898	13,63334	15,32207	10,37504	13,20365	9,409391	11,26092	6,022368	10,57648	11,37721	6,189825	11,544	10,92258	12,86535	6,930737	8,918863	7,882643	14,68524	8,247928	14,82212	5,97728	12,11862	9,361944	16,02607	9,493855	10,49985	11,28135	8,632996
CONTROL	10,95783	0	0	2,321928	7,149747	0	7	8,507794	13,45648	5,129283	9,590587	8,169925	9,303781	10,62571	6,37504	9,103288	12,00808	2,584963	2	9,511753	7,672425	4,087463	7,622052	4,392317	4,247928	2	13,56653	12,78443	2,321928	0	4,087463	10,56129	2,321928	5,672425	0	11,78423	10,90011	9,584963	12,11732	0	2,321928	12,31061	10,58026	10,95056	3	10,54978	9,002815	8,47978	3,584963	5,61471	7,044394	6,918863	3,906891	11,02167	6,539159	13,54726	11,0546	6,044394	0	14,34312	13,45288	6,228819	13,40208	6,930737	9,294621	11,68912	10,28309	12,11667	13,38154	14,42042	4,087463	9,377211	8,823367	7,475733	12,91345	9,971543	6,954196	11,42941	2,321928	7,665336	8,219169	6,942514	6,61471	1	11,67021	11,06878	14,07155	12,21341	14,06424	14,33274	10,04029	13,26283	8,174926	5,209454	5,285402	10,17867	11,66534	5,672425	12,03032	11,71124	10,17991	6,599913	10,19476	8,599913	14,88855	6,539159	14,8589	6,475733	12,96669	9,038919	15,98255	9,090113	10,80574	11,31854	8,854868
CONTROL	10,68036	2	1,584962	3,584963	10,69	0	7,129283	8,764872	14,06525	6,930737	10,36085	7,357552	7,546895	13,37762	8,383704	10,36304	11,48583	3	3,169925	12,86959	8,791162	4,321928	9,712527	7,636625	5,357552	3,459432	13,663	12,24526	1,584962	3,70044	5,954196	11,26092	6,129283	5,83289	0	12,18642	11,10656	11,79116	12,07213	1	4,321928	12,2503	11,35149	10,48382	3,584963	11,13827	7,857981	9,071463	6,584962	5,491853	7,087463	6,672425	5,672425	10,60177	8,894817	13,79411	13,21629	4,754888	3,321928	14,38377	13,34291	5,97728	12,71124	4	8,588715	12,7752	9,748193	12,67948	13,63866	13,4516	4,523562	9,098032	8,113742	5,087463	12,68387	6,108524	4,523562	12,66511	3,584963	7,686501	9,147205	4,169925	3,807355	2,321928	9,134426	10,67154	12,17555	10,56986	13,30692	15,58819	9,292321	12,39205	7,330917	7,531382	5,83289	11,60733	10,15355	6,491853	12,04746	11,09011	13,62708	6,584962	8,523562	6,942514	12,97011	7,672425	15,00694	6,507795	11,97621	10,02791	16,88911	8,159871	12,12024	11,8857	9,379378
CONTROL	8,994353	0	1	3,70044	9,748193	0	7,787902	9,911392	14,45847	6,727921	11,1453	6,584962	6,022368	6,392317	8,503826	9,84549	11,46199	3,459432	3	12,13763	8,577429	3	6,78136	4,754888	2	3,169925	14,52601	11,63662	1	0	4,523562	11,14147	6,022368	5,523562	1,584962	10,37613	8,357552	9,715962	12,26649	0	3,70044	12,42075	10,12928	9,634811	3,459432	9,164907	9,027906	8,748193	2,807355	5,61471	6,459432	7,294621	4,169925	9,084808	8,144658	13,35989	11,08348	2	2	14,624	13,01942	3,459432	10,57743	3,70044	8,816983	12,36085	9,753217	14,61333	12,8792	14,13539	5,129283	10,39339	7,554589	5,169925	13,562	7,228819	5,357552	11,12283	4	8,741467	7,721099	4,643856	3,169925	1,584962	10,47776	10,9263	13,29132	9,878051	14,30933	13,88312	8,184875	13,33679	7,033423	3,321928	4,70044	10,28193	11,56129	5,672425	11,51126	10,37613	9,60733	3,807355	10,46964	7,417852	13,96587	3,584963	14,43749	6,129283	12,22098	8,558421	15,52824	7,693487	10,09935	10,79928	7,569856
CONTROL	7,787902	1	2,807355	2	9,640244	0	8,308339	7,467606	14,18131	7,169925	7,312883	4,247928	2,321928	7,400879	7,584962	5,61471	10,97585	4,459432	1,584962	6,672425	5,954196	3,169925	5,643856	3,459432	4,169925	0	11,09408	12,17149	3,70044	1	6,409391	10,71768	6,209454	6,90689	0	9,121533	7	7,409391	11,3443	1,584962	6,247928	12,47345	10,9491	11,13827	3,807355	7,577429	9,964341	9,409391	4,954196	6,768184	8,118941	8,826549	6	11,2246	7,629356	11,21614	9,562243	2,321928	3,584963	10,57365	8,294621	5,90689	4,087463	4,169925	7,459432	12,93535	5,554589	9,702172	12,50134	14,28294	6,426265	11,7879	0	0	10,27496	0	5,727921	9,784635	5,61471	6,491853	9,238404	7,066089	5,554589	1,584962	8,873445	12,33288	10,26796	2,584963	12,92555	8,73471	4	5,83289	7,794416	0	3,459432	9,02514	5,61471	3,70044	11,28598	11,2402	6,37504	6,044394	10,55842	8,599913	10,34096	8,353147	12,58918	4,087463	10,33539	10,2009	13,49398	6,507795	10,22762	8,290019	8,442944
CONTROL	10,53528	6,189825	0	2,807355	7,219169	3,169925	7,78136	7,451211	14,05571	7,426265	9,294621	6,965784	5	11,38909	7,451211	10,27729	11,77066	3,906891	0	13,22159	9,746514	5,78136	11,74987	5,97728	4,807355	2,321928	12,95656	12,03823	3,321928	3,459432	6,523562	11,40567	3,321928	5,247928	2	11,67596	9,567956	10,83368	12,17055	2	1,584962	12,34762	11,27903	10,28193	1,584962	10,80896	7,209454	9,236014	6,169925	5,321928	6,409391	6,442944	5,247928	8,942514	8,396605	13,49573	11,3837	2,321928	0	13,36741	12,37178	3,807355	11,35535	2	7,592457	10,62022	9,815383	10,02237	13,90416	13,31203	4,459432	9,625709	7	4,321928	11,59012	4	2,584963	11,83526	4,087463	7,098032	8,209454	4,247928	3,906891	0	7,247928	10,88646	13,06995	6,820179	11,82377	13,58895	4,523562	12,6314	6,409391	5,61471	3,906891	11,24436	8,83289	6,209454	11,51323	11,27321	11,62251	5,459432	7,721099	6,794416	12,58355	5,426265	14,39332	5,61471	10,94398	9,411511	16,07464	7,584962	10,33651	11,40195	8,661778
CONTROL	10,25267	0	2	2,321928	9,011228	0	7,936638	8,562243	13,27161	6,303781	10,18982	8	8,851749	12,85545	7,219169	9,590587	11,77108	3,584963	1	10,93737	8,794415	4,169925	8,61471	5,321928	4,247928	1	13,84068	13,07648	2	3,169925	4,321928	10,56033	3	6	0	11,62708	10,91588	11,28887	11,96578	0	0	12,2237	11,12024	9,923327	2	10,64295	8,022367	8,515699	4,954196	5,643856	7,73471	7	4,643856	10,52356	7,179909	13,88092	12,04439	6,228819	1	14,15403	13,31671	5,584962	13,34443	7,577429	9,731319	11,87958	10,72962	11,02237	14,04832	13,70908	4,459432	9,390169	9,33985	7,870365	12,95347	9,224002	8,103288	11,97621	3	7,33985	7,774787	2,584963	4,247928	3,70044	11,28077	10,73132	13,71746	12,36413	13,57873	15,18348	10,31628	13,94663	8,665336	10,52454	5,78136	10,6339	12,01262	5,78136	11,83881	11,72238	11,59805	6,426265	9,862638	8,308339	14,48639	5,169925	14,65268	6,228819	12,58402	9,157347	16,00253	8,519636	11,08813	11,25798	8,573647
CONTROL	10,13955	6,741467	1	2,321928	10,19722	0	7,727921	10,3443	13,75593	9,577429	10,65374	7,748193	7,636625	11,49335	8,366323	9,686501	10,59339	1,584962	1	13,82386	9,807355	5,672425	10,88035	10,15861	5,087463	2,584963	14,28316	11,19845	4,392317	4,857981	6,539159	10,91663	5,169925	4,321928	1	12,72664	8,290019	9,774787	12,84117	1	2	11,36468	11,32136	9,577429	2,584963	10,40514	7,451211	9,539159	5,247928	1	7,238405	6,285402	5,129283	9,503826	9,834471	13,01524	11,65598	5,584962	2,321928	12,01053	11,49685	3,321928	8,839204	3,70044	8,366323	11,88455	9,764872	9,896333	12,34235	12,2703	5,807355	10,5265	8,134426	6,285402	10,47371	6,539159	3,70044	11,24733	4,321928	7,098032	10,59619	5,491853	4,169925	0	9,370687	10,81858	10,99081	11,28425	9,859535	12,7328	8,939579	10,73809	7,159871	6,882643	6,228819	11,81378	9,299208	5,930737	11,63753	11,58449	14,30328	6,714245	7,179909	5,97728	12,10132	5,882643	13,63696	5,643856	11,03823	10,55267	15,8103	8,08215	11,19967	11,78218	9,379378
CONTROL	11,3537	3,584963	0	1	9,733015	1,584962	8,049849	9,194757	14,13563	7,312883	10,32418	8,194757	9,357552	10,99718	9,579316	8,909893	12,48533	5,247928	3,321928	10,35315	9,355351	3,70044	12,7832	7,159871	6,599913	1,584962	12,73238	12,34402	5,643856	5,209454	6,37504	11,04644	5,672425	7,159871	1	12,87306	11,02167	10,87344	12,38909	0	7,022368	12,55291	11,39446	10,36632	3	9,859535	8,754888	8,939579	6,129283	6,266787	8,060696	7,643856	6,228819	10,86341	9,471675	13,77355	11,4671	7,330917	1,584962	13,79543	14,06162	5,129283	12,08315	4,754888	9,821774	12,27903	11,48382	13,62274	14,29081	14,13226	5,643856	10,2384	10,29692	7,011227	12,72046	8,661778	5,78136	12,57507	4	8,870365	11,62845	5,392317	5,426265	3,584963	12,00387	12,06508	12,84196	13,27903	14,09094	14,1148	12,96308	13,37246	7,864186	12,79014	8,022367	11,43567	11,32024	7,459432	11,90463	11,49536	10,94325	7,882643	10,53819	8,693487	11,17617	7,562243	14,92986	6,741467	12,32896	11,02375	16,945	10,01123	10,89785	12,07682	8,693487
CONTROL	10,05664	3,169925	1	1	8,985842	0	8,184875	10,82496	14,32825	8,503826	11,09869	7,774787	8,353147	11,64746	8,113742	9,287712	11,66445	3,321928	2	11,33204	8,679481	4,857981	8,73471	5,97728	4,321928	2,584963	14,70801	12,22641	2	2,807355	6,228819	11,42101	6,83289	5,554589	0	12,56534	8,675957	10,64836	12,71403	2,321928	6,129283	12,22249	11,30435	10,52748	2,584963	9,733015	8,326429	10,03342	5,83289	4,459432	7,312883	6,870365	6	8,918863	9,501837	13,63674	11,37123	5,491853	3,70044	13,35397	12,88665	2,584963	10,7211	4,169925	9,364135	12,41838	11,20518	10,69087	13,17508	13,36277	4,857981	10,46148	8,820179	5,97728	12,19322	7,37504	3,906891	11,67198	4,087463	7,882643	8,33985	4,70044	3,459432	3,321928	10,56415	11,80211	12,63934	12,19106	12,00738	13,62365	9,715962	12,19445	7,209454	8,154819	6,37504	11,59433	10,99647	6,33985	12,48507	11,61287	11,2009	6,686501	8,632996	8,430452	12,31203	7,098032	14,14027	5,61471	11,83684	9,714246	16,55657	8,679481	10,79279	12,05325	9,287712
CONTROL	11,39393	0	1	0	8,61471	0	8,209454	11,59852	15,07008	5,61471	12,19906	6,870365	5,426265	7,238405	9,73978	8,154819	11,34983	0	1,584962	9,467606	9,23362	3,906891	4,392317	5,70044	2,321928	3,459432	14,79563	12,29921	1,584962	2	3,70044	11,95238	4,584962	7,754888	2	12,81838	10,20212	11,62617	13,3184	0	4,087463	12,88417	11,84706	9,301497	2,321928	9,126704	8,179909	9,136992	2	7,70044	6,599913	5,930737	5	8,108524	8,507794	12,38667	10,39339	3,169925	2,807355	14,44307	14,51453	3,169925	12,69588	0	8,515699	13,71457	9,987264	14,93235	14,0484	14,12234	4,247928	8,839204	7,584962	2,584963	13,9693	4,584962	0	13,04883	3,169925	10,81458	6,857981	2,321928	1	0	9,187352	10,44812	13,46761	11,08281	15,68467	15,04482	12,28454	12,01193	5,61471	6,569856	3,459432	10,91737	11,15672	4,584962	11,95565	10,80494	8,689998	4,90689	11,04029	8,06609	13,30107	5,491853	15,57223	5	10,43463	8,134426	16,43011	9,095397	11,53382	11,89747	9,027906
CONTROL	11,03549	0	0	2,584963	7,622052	0	7,948367	9,668885	14,89917	7,539159	11,06272	8,467606	8,672425	12,27845	8,361944	9,385862	12,28135	2,584963	2,321928	9,126704	8,426265	3	6,84549	5,807355	4,954196	2	14,42771	12,59828	5,459432	2,321928	5,044394	11,49735	4,954196	6,357552	0	12,94306	9,987264	11,4078	12,94141	0	3	12,65083	11,89368	10,64746	1,584962	10,12541	7,994353	9,06609	5,83289	7,366322	6,882643	5,643856	4,169925	8,873445	8,968667	13,85458	10,90989	5,426265	2,321928	14,94242	14,4162	4,954196	12,33092	5,61471	8,016809	12,91663	10,11764	14,97652	14,04585	14,04925	4,523562	9,469642	8,388018	8,438792	13,91046	9,266787	6,629356	12,42626	3,807355	9,079485	8,262094	4,087463	3,321928	2,584963	10,92926	11,71081	13,85506	11,18239	15,17133	14,46646	10,19967	13,64295	8,511753	9,902375	5,321928	10,43045	11,27205	5,554589	11,59945	11,66578	9,744834	6,658212	9,952742	8,108524	12,7717	6,84549	15,32161	5,930737	13,00755	8,252666	16,56083	9,098032	10,51964	10,55651	9,068778
CONTROL	11,01053	0	1	2,807355	7,546895	0	6,442944	8,903882	14,21508	5,643856	10,37721	7,312883	6,727921	11,11569	7,651052	9,929258	11,8746	2,807355	0	11,90952	9,167418	4,754888	11,3696	4,807355	3,70044	1,584962	14,28533	12,87958	6,247928	5,930737	4,754888	10,90388	3,321928	6,459432	0	12,98228	11,99046	13,03463	12,74798	0	2,321928	13,05934	11,65866	12,38667	3,169925	12,00633	7,491853	8,643856	4,392317	6,930737	7,78136	5,61471	2,584963	8,764872	6,965784	14,37619	12,38829	3,584963	0	14,67893	14,43756	4,70044	13,99214	3	6,442944	12,31854	9,405142	14,83403	14,63821	13,42548	3,169925	8,290019	8,294621	5,491853	13,64464	6,189825	3	13,20442	3,321928	7,727921	11,37232	4,087463	4,169925	2	8,771489	10,2703	13,94709	9,84549	14,51336	15,68225	9,859535	13,36468	6,491853	7,055283	4,954196	11,06205	10,5708	5,70044	11,38478	11,53819	11,82177	5,129283	7,33985	7,199672	13,67287	5,087463	15,61042	7,348728	13,39968	10,29806	16,73723	7,84549	11,97226	11,04166	8,918863
CONTROL	9,287712	1,584962	2	2,321928	9,991522	0	7,531382	8,61471	13,51076	7,714245	8,994353	6,714245	6,599913	12,65642	6,523562	8,682995	10,93148	3,906891	3	11,08481	7,882643	4,523562	5,357552	4,754888	3,169925	1,584962	13,25871	11,76736	1	0	4,857981	11,02237	7,73471	4,857981	0	10,98371	7,693487	10,03342	11,34041	2,321928	4,754888	11,71425	10,79685	9,897845	3,906891	8	7,491853	9,194757	6,108524	2,807355	7,714245	6,83289	4,392317	9,202124	8,348728	13,24168	9,703903	2,584963	1	12,67684	10,30035	2,321928	8,748193	3,807355	7,531382	10,50779	8,839204	8,348728	12,56486	13,29864	4,643856	9,643856	6,807355	7,247928	10,71081	6,942514	4,087463	9,703903	3,321928	6,066089	6,78136	4,523562	4,459432	3	8,721099	10,98371	11,50829	9,729621	9,876517	12,42548	6,129283	11,20212	6,61471	6,303781	3,584963	11,00141	9,092757	5,70044	11,39928	11,77355	9,571753	5,169925	6,741467	6,599913	12,81878	4,754888	12,79218	5,129283	10,23242	8,703903	15,73121	8,179909	10,43359	10,38694	9,014021
CONTROL	11,79401	0	0	1,584962	7,965784	0	7,011227	8,396605	13,49997	7,658212	11,3298	10,22762	11,76238	11,45584	8,679481	8,204571	12,48734	3,584963	0	9,509775	8,787903	4,459432	10,5727	6,022368	5,672425	2	13,47953	12,52503	1,584962	1,584962	5,357552	10,91364	3,584963	5,554589	0	12,82416	9,531382	9,688251	12,2064	2,807355	7,066089	12,07079	11,13955	10,31741	2	9,714246	9	9,422065	5,70044	5,357552	8,044394	6,629356	5,61471	8,28077	8,194757	13,11732	11,04849	8,539159	0	13,6027	13,17133	6,022368	12,41151	9,167418	12,18208	12,44087	13,22476	13,99727	13,81568	14,23616	7,044394	9,269127	12,50953	9,670656	12,52037	11,48935	9,485829	12,18797	3,169925	8,707359	6,70044	4,321928	5,087463	4,643856	14,22566	11,54545	13,38707	15,51379	12,68168	13,72206	12,7628	14,68972	10,77232	14,22038	9,42836	11,04917	13,0954	6,70044	12,37041	12,01924	11,64476	8,611025	11,43775	10,20457	12,59129	9,346514	14,7719	6,247928	14,12153	8,618385	16,64858	11,48432	10,59246	11,23122	9,445015
CONTROL	11,62799	2,321928	0	1,584962	8,426265	0	8,370687	9,584963	14,09531	7,658212	10,8986	7,199672	5,61471	12,5779	9,475734	10,23721	11,51865	4,321928	2	11,66578	9,422065	4,392317	10,30606	5,426265	6,022368	2	13,57483	12,17991	1	3	5,754888	10,83526	5,209454	6,894818	2	11,81938	10,12541	10,25857	12,21735	0	4,087463	12,36632	11,26327	10,51471	1,584962	10,21432	8,049849	9,164907	6,392317	5,129283	7,392317	6,491853	5,807355	9,616549	8,451211	13,70822	11,88226	2,807355	0	13,37286	12,88035	4,169925	12,23811	3,169925	8,108524	10,95274	9,779719	8,994353	13,35177	13,53309	5,357552	10,32418	7,108524	2,584963	11,62525	4,90689	2	12,66667	3,70044	7,37504	6,70044	4,70044	3,807355	1	7,228819	11,56558	11,98584	8,357552	12,59572	14,73174	7,011227	13,62445	6,169925	1,584962	3,70044	11,42626	10,14721	7,577429	12,24407	11,40035	11,83131	6,442944	8,603626	6,754888	13,33623	4,70044	14,87939	7,467606	11,3537	9,308339	16,16377	7,507795	11,19599	10,70736	9,118941
CONTROL	8,430452	0	2,321928	2,584963	9,057992	0	7,665336	8,426265	14,49798	5,97728	10,2854	8,169925	9,002815	8,405142	9,377211	10,34873	11,39124	4,169925	2,807355	11,3614	7,554589	2	10,04029	7,199672	5,087463	2,807355	13,86776	12,81358	2,807355	2,584963	6,930737	10,81298	3,584963	6,83289	0	13,31118	10,22279	10,49185	12,86863	0	3,459432	12,57152	11,2402	10,82655	1,584962	11,99612	8,918863	9,08215	5,392317	7,139551	7,918863	6,70044	4,90689	11,31061	7,179909	13,92639	12,58661	6,022368	1	14,44624	13,78545	7,794416	12,47902	6,285402	9,902375	12,40088	11,17055	13,69588	14,13459	14,34686	5,61471	9,98014	9,271463	7,044394	12,99435	9,022367	5,491853	12,44553	4,247928	9,228819	8,930737	5,930737	5,129283	2,807355	11,33036	11,67507	14,01863	12,56796	14,72574	14,18255	10,38802	14,37484	8,174926	9,548821	6,33985	10,14593	11,59898	6,33985	11,83526	11,56653	12,39821	7,442944	10,24555	8,550747	14,50296	5,247928	15,14852	5,882643	12,98549	9,829722	16,08539	9,321928	11,31345	10,48583	9,144658
CONTROL	10,96362	4,087463	2,584963	2,321928	7,90689	0	7,8009	8,721099	14,28663	6,459432	12,33595	7,33985	7,554589	7,857981	6,942514	9,691744	12,54279	6	4,459432	11,07414	8,622052	4,321928	12,66445	9,324181	6,584962	0	14,04414	13,04781	4,321928	4,392317	7,761551	10,64386	0	7,562243	1	12,277	10,33762	11,12477	13,83733	0	4,523562	13,04422	11,44553	10,6027	2,807355	11,77684	9,455327	9,560333	5,643856	8,682995	7,67948	7,61471	4,087463	11,43983	9,197217	13,90877	11,91251	4,954196	1	14,75666	14,2582	6,523562	14,02185	6,70044	7,982994	13,52613	9,964341	15,68387	14,4921	14,94855	4,754888	10,50581	9,987264	7,022368	14,20121	8,060696	7,276124	12,76155	5	10,19599	7,8009	3,321928	4,321928	3,169925	11,43567	11,47624	14,2867	10,53236	15,46279	13,68475	10,37395	16,1191	8,405142	10,67772	4,523562	9,255029	12,05393	4,70044	11,54158	10,8986	11,52845	6,523562	12,05731	10,52356	14,22476	8,891784	15,69917	5	11,63979	10,00282	15,94935	8,861087	11,01402	11,8746	10,18488
CONTROL	10,64656	0	1	3	8,665336	0	6	9,813781	14,3	5,426265	11,11699	7,971544	8,754888	10,92184	9,57554	9,815383	11,79644	2,584963	3,459432	10,41363	7,531382	2,584963	8,661778	5,129283	4	2,807355	14,29899	12,45738	4,807355	3	4,169925	10,27729	5,392317	5,285402	0	11,61609	10,90313	11,88646	11,9211	1	3	12,44734	11,35975	11,7789	2,807355	11,07347	7,787902	8,588715	4,643856	7,033423	7,569856	5,807355	4,584962	10,54786	7,087463	13,64487	12,78729	5,672425	0	15,17824	14,10443	5,954196	14,2906	3,807355	8,717676	12,62342	10,09935	14,77319	15,06259	13,55591	4,523562	9,052568	9,854868	6,285402	14,03437	8,894817	4,90689	12,94837	2	8,535275	8,903882	3,584963	2,807355	3,584963	10,53236	9,926296	14,29167	12,0563	14,88979	15,70536	10,95783	13,99788	7,330917	9,207014	5,882643	10,77396	10,90011	5,491853	11,30207	10,74231	11,54641	6,599913	8,388018	7,108524	9,794415	7,118941	15,08489	5,754888	12,53722	9,537218	16,14374	8,689998	11,68912	10,55075	8,848623
CONTROL	9,696967	4,169925	0	2,807355	9,870365	0	7,285402	7,312883	13,23855	7,636625	9,252666	6,930737	7,434628	12,21553	7,179909	11,15165	10,44501	3,584963	2	13,34956	7,108524	2,321928	10,55746	7,721099	4,087463	1	13,71585	11,41838	2,321928	2	5,727921	10,96362	3,906891	4	0	11,33539	7,8009	8,867279	11,79847	0	5,882643	11,86109	10,13443	9,503826	3,459432	9,310613	8,276124	8,686501	5,247928	4,459432	5,70044	7,569856	3,70044	10,71682	9,17742	13,39393	11,37938	4,087463	1	12,93737	10,92481	4,087463	8,741467	5,209454	7,942514	10,83842	10,55746	6,507795	11,91998	13,51212	3,70044	10,76238	7,643856	6,321928	11,15735	8,169925	4,807355	9,915879	3,807355	6,266787	7,149747	3,906891	2,584963	2,584963	10,34651	11,2234	12,16491	11,37938	11,41891	12,18859	7,139551	12,4086	7,238405	7,826549	3,906891	10,11374	10,73132	6,61471	11,4625	11,81538	12,25444	5,087463	8,774787	8,005625	12,99506	6,807355	13,1946	5,523562	11,41257	9,105908	15,46372	7,820179	9,315149	8,83289	8,184875
CONTROL	8,388018	2	1,584962	2	9,231221	0	6	6,629356	13,13394	8,997179	9,219169	5,491853	5,584962	12,07381	6,686501	9,909893	11,16992	2	2	11,11764	5,392317	2,321928	9,544965	8,658212	4,321928	2	12,97083	11,48382	2	3,807355	7,238405	10,5411	4,807355	4,087463	0	9,579316	6,83289	8,027906	11,32024	2,584963	4,807355	11,38586	9,652845	9,392318	3,321928	9,763212	8,076816	8,689998	3,70044	4,90689	6,507795	8,204571	2,807355	8,912889	7,851749	13,41283	11,3592	2,584963	0	13,48847	11,26796	5,61471	9,355351	4,754888	7,721099	10,56224	10,15482	8,118941	12,28164	13,51397	4,087463	10,13443	6,129283	5,426265	11,92667	7,266787	6,209454	10,28077	4,754888	5,754888	10,43463	7,507795	6,247928	3,169925	8,954196	10,77479	12,45558	9,871905	11,97907	12,24911	5,087463	12,57932	6,507795	4,247928	3,584963	10,30948	11,88988	4,459432	11,49935	11,15292	11,82734	4,247928	8,918863	7,523562	12,67397	5,321928	13,34845	5,285402	12,78402	9,73471	15,07581	7,169925	8,285402	8,08215	7,727921
